Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project Number,Gate
Alverdiscott,PIVOTED POWER LLP,Alverdiscott 400kV Substation,1.00,0.00,49.90,49.90,2029-10-31,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005ieSQAQ,PRO-001136-1,1
Alverdiscott,PIVOTED POWER LLP,Alverdiscott 400kV Substation,2.00,0.00,50.10,100.00,2036-10-31,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005ieSQAQ,PRO-001136-2,1
Alverdiscott Farm,Alverdiscott 10 Renewables Ltd,Alverdiscott 400kV Substation,,0.00,1000.00,1000.00,2037-04-24,Scoping,Direct Connection,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L000002yQZtQAM,PRO-002554,
Axminster,HB825AXM LTD,Axminster 132kV Substation,,0.00,120.00,120.00,2024-10-31,Awaiting Consents,Direct Connection,NGET,Energy Storage System,a0l4L0000005ixvQAA,PRO-001017,1
Axminster,PIVOTED POWER LLP,Axminster 400kV Substation,,0.00,49.90,49.90,2027-10-31,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005iufQAA,PRO-001143,1
Axminster - New Connection,ENSO GREEN HOLDINGS B LIMITED,Axminster 132kV Substation,,0.00,120.00,120.00,2029-06-30,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005ixwQAA,PRO-001356,1
Axminster BESS,CSE25 LIMITED,Axminster 132kV Substation,,0.00,150.00,150.00,2028-10-31,Scoping,Direct Connection,NGET,Energy Storage System,a0l4L0000005ixiQAA,PRO-001740,1
Bridgwater (tertiary),ENSO GREEN HOLDINGS H LIMITED,Bridgwater 400/132kV Substation,,0.00,57.00,57.00,2028-08-31,Scoping,Direct Connection,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005ilPQAQ,PRO-000375,
Bridgwater Energy Park,EXAGEN GROUP LIMITED,Bridgwater GSP,,0.00,249.99,249.99,2037-10-31,Scoping,Direct Connection,NGET,Energy Storage System,a0l8e000001HrhnAAC,PRO-004215,
Celtic 2 Offshore Wind Farm,RWE Offshore Wind,Alverdiscott 400kV Substation,,0.00,1000.00,1000.00,2031-10-31,Scoping,Direct Connection,NGET,Wind Offshore,a0l4L0000005ia5QAA,PRO-002007,1
