category,name,matched_with
confident_match,Alverdiscott 400kV Substation,Alverdiscott Substation
confident_match,Axminster 132kV Substation,Axminster Substation
confident_match,Axminster 400kV Substation,Axminster Substation
confident_match,Bridgwater 400/132kV Substation,Bridgwater Substation
confident_match,Bridgwater GSP,Bridgwater Substation
confident_match,Devonside 132/33kV,Glenside Substation
confident_match,Devonside 132kV Substation,Glenside Substation
confident_match,Exeter 132kV Substation,Exeter Substation
confident_match,Exeter 400kV Substation,Exeter Substation
confident_match,Exeter GSP,Exeter Substation
confident_match,Exeter Main 400kV Substation,Exeter Substation
confident_match,Hinkley Point 400kV Substation,Hinkley Point B Substation
confident_match,Indian Queens 400kV Substation,Indian Queens Substation
confident_match,Landulph 400kV Substation,Landulph Substation
confident_match,Landulph GSP,Landulph Substation
confident_match,Langage 400kV Substation,Langage Substation
confident_match,Shurton 400kV Substation,Shurton Substation
confident_match,Taunton 400kV Substation,Taunton Substation
confident_match,Taunton GSP,Taunton Substation
unmatched_osm,1 Anns Place Substation,
unmatched_osm,1 Bowers Park Drive Substation,
unmatched_osm,10 St Pancras Avenue Substation,
unmatched_osm,1000FT Peek Hill Substation,
unmatched_osm,108 Lynwood Avenue Substation,
unmatched_osm,111 Beaumont Street Substation,
unmatched_osm,12 Wasdale Gardens Substation,
unmatched_osm,122 Wingfield Road Substation,
unmatched_osm,123 Alexandria Road Mutley Substation,
unmatched_osm,13 Jubilee Road Substation,
unmatched_osm,138 Mount Gould Road Substation,
unmatched_osm,"145 Church Road, Wembury",
unmatched_osm,146 Tavistock Road Substation,
unmatched_osm,152 Westfield Substation,
unmatched_osm,154 Rothesay Gardens Substation,
unmatched_osm,157,
unmatched_osm,158,
unmatched_osm,168 Blandford Road Substation,
unmatched_osm,17 Veasy Park,
unmatched_osm,171 Churchway Substation,
unmatched_osm,189 Beacon Park Road Substation,
unmatched_osm,19 Speakers Road Substation,
unmatched_osm,2 Blandford Road Substation,
unmatched_osm,21 Downfield Walk Substation,
unmatched_osm,"22, Central Park Avenue Substation",
unmatched_osm,23 Hawkringe Gardens Substation,
unmatched_osm,24 Headquarters Road WWTE,
unmatched_osm,27 Redwood Drive Substation,
unmatched_osm,27 Weston Mill RoadSubstation,
unmatched_osm,285 Westfield Substation,
unmatched_osm,29 Ruskin Crescent Substation,
unmatched_osm,33 Mayflower Street Substation,
unmatched_osm,34 Nevada Close Substation,
unmatched_osm,34 Petersfield Close Substation,
unmatched_osm,35 Dartmoor Road S/S,
unmatched_osm,35 Downfield Walk Substation,
unmatched_osm,37 Blackstone Close Substation,
unmatched_osm,37 Trematon Drive Substation,
unmatched_osm,371 Budshead Road Substation,
unmatched_osm,38 Cowley Road Substation,
unmatched_osm,45 Raglan Road Substation,
unmatched_osm,45 Trevithick Road Substation,
