name,voltage,operator,lat,lon
1 Anns Place Substation,11000,National Grid Electricity Distribution,50.3814924,-4.1634141
1 Bowers Park Drive Substation,11000,National Grid Electricity Distribution,50.4332903,-4.0981365
10 St Pancras Avenue Substation,11000,National Grid Electricity Distribution,50.3993433,-4.1484706
1000FT Peek Hill Substation,11000,National Grid Electricity Distribution,50.5091907,-4.0450924
108 Lynwood Avenue Substation,11000,National Grid Electricity Distribution,50.3940307,-4.0756049
111 Beaumont Street Substation,11000,National Grid Electricity Distribution,50.3841938,-4.1616965
12 Wasdale Gardens Substation,11000,National Grid Electricity Distribution,50.4099782,-4.1024115
122 Wingfield Road Substation,11000,National Grid Electricity Distribution,50.3788754,-4.1588388
123 Alexandria Road Mutley Substation,11000,National Grid Electricity Distribution,50.3820397,-4.1263232
13 Jubilee Road Substation,11000,National Grid Electricity Distribution,50.4139983,-4.1726532
138 Mount Gould Road Substation,11000,National Grid Electricity Distribution,50.3785238,-4.1169279
"145 Church Road, Wembury",,National Grid Electricity Distribution,50.3203796,-4.0795326
146 Tavistock Road Substation,11000,National Grid Electricity Distribution,50.4122321,-4.1276315
152 Westfield Substation,11000,National Grid Electricity Distribution,50.3895008,-4.0413065
154 Rothesay Gardens Substation,11000,National Grid Electricity Distribution,50.4134748,-4.1489607
157,,National Grid Electricity Distribution,50.7206519,-4.0039026
158,,National Grid Electricity Distribution,50.7207349,-4.0037797
168 Blandford Road Substation,11000,National Grid Electricity Distribution,50.3884793,-4.1136444
17 Veasy Park,,National Grid Electricity Distribution,50.3228059,-4.0709262
171 Churchway Substation,11000,National Grid Electricity Distribution,50.401544,-4.1777238
189 Beacon Park Road Substation,11000,National Grid Electricity Distribution,50.3945632,-4.1573716
19 Speakers Road Substation,11000,National Grid Electricity Distribution,50.3919368,-3.9088216
2 Blandford Road Substation,11000,National Grid Electricity Distribution,50.3885152,-4.1227203
21 Downfield Walk Substation,11000,National Grid Electricity Distribution,50.3893358,-4.0436358
"22, Central Park Avenue Substation",11000,National Grid Electricity Distribution,50.3792897,-4.1438167
23 Hawkringe Gardens Substation,11000,National Grid Electricity Distribution,50.4179433,-4.1768056
24 Headquarters Road WWTE,,,51.2742812,-2.209335
27 Redwood Drive Substation,11000,National Grid Electricity Distribution,50.389214,-4.031267
27 Weston Mill RoadSubstation,11000,National Grid Electricity Distribution,50.4037082,-4.1786172
285 Westfield Substation,11000,National Grid Electricity Distribution,50.3898013,-4.0382224
29 Ruskin Crescent Substation,11000,National Grid Electricity Distribution,50.4112341,-4.1434615
33 Mayflower Street Substation,11000,National Grid Electricity Distribution,50.3731577,-4.1411867
34 Nevada Close Substation,11000,National Grid Electricity Distribution,50.3919892,-4.1005918
34 Petersfield Close Substation,11000,National Grid Electricity Distribution,50.3925066,-4.1152102
35 Dartmoor Road S/S,,,51.2501261,-2.2009413
35 Downfield Walk Substation,11000,National Grid Electricity Distribution,50.3888702,-4.0427638
37 Blackstone Close Substation,11000,National Grid Electricity Distribution,50.3548667,-4.0710366
37 Trematon Drive Substation,11000,National Grid Electricity Distribution,50.3895603,-3.9079367
371 Budshead Road Substation,11000,National Grid Electricity Distribution,50.4179512,-4.1546726
38 Cowley Road Substation,11000,National Grid Electricity Distribution,50.4113423,-4.146511
45 Raglan Road Substation,11000,National Grid Electricity Distribution,50.371357,-4.1737239
45 Trevithick Road Substation,11000,National Grid Electricity Distribution,50.4066921,-4.1773136
46 Dark Street Lane Substation,11000,National Grid Electricity Distribution,50.3860789,-4.0530876
49 Wyoming Close Substation,11000,National Grid Electricity Distribution,50.3934859,-4.1058313
5 Victoria Place Substation,11000,National Grid Electricity Distribution,50.3676182,-4.1575733
51 Rothsay Gardens Substation,11000,National Grid Electricity Distribution,50.4126472,-4.1443838
53 Kings Tamerton Road Substation,11000,National Grid Electricity Distribution,50.4042321,-4.1749743
55 Browning Road Substation,11000,National Grid Electricity Distribution,50.3842015,-4.1631075
57 Montacute Avenue Substation,11000,National Grid Electricity Distribution,50.4094413,-4.1601435
61 Channel Park Ave Substation,11000,National Grid Electricity Distribution,50.3850941,-4.1168684
65 Luxmore Close Substation,11000,National Grid Electricity Distribution,50.4060887,-4.0919809
7 Battle Road Substation,11000,National Grid Electricity Distribution,50.5713495,-3.6535696
70 Underlane Substation,11000,National Grid Electricity Distribution,50.3549453,-4.0972349
76 Carradale Road Substation,11000,National Grid Electricity Distribution,50.3976576,-4.1029838
8 David Close Substation,11000,National Grid Electricity Distribution,50.3927183,-4.0416362
8 Grand Parade Substation,11000,National Grid Electricity Distribution,50.3635252,-4.1479563
8 Union Street Substation,11000,National Grid Electricity Distribution,50.3702616,-4.1474835
"8, Bede Gardens Substation",11000,National Grid Electricity Distribution,50.4057851,-4.154137
84 Downfield Walk Substation,11000,National Grid Electricity Distribution,50.3883005,-4.0407488
87 Blackstone Close Substation,11000,National Grid Electricity Distribution,50.356029,-4.0692114
88 Kings Tamerton Road Substation,11000,National Grid Electricity Distribution,50.4057989,-4.1729349
89 Compton Avenue Substation,11000,National Grid Electricity Distribution,50.3870504,-4.1210318
92 Hillcrest Close Substation,11000,National Grid Electricity Distribution,50.3883182,-4.0383703
96 Holly Park Drive Substation,11000,National Grid Electricity Distribution,50.4241401,-4.1626771
A30 Gateway Services,,National Grid Electricity Distribution,50.4268894,-4.8158825
Aaronsons Substation,33000,National Grid Electricity Distribution Plc,51.0223816,-3.875318
Abbey Cl Crapstone Substation,11000,National Grid Electricity Distribution,50.4906025,-4.1151179
Abbey Hill Lufton Substation,11000,National Grid Electricity Distribution,50.9516789,-2.6795925
Abbey Meadow Substation,11000,National Grid Electricity Distribution,50.4930689,-3.7789811
Abbey Rd Substation,11000,National Grid Electricity Distribution,50.5938991,-3.6761597
Abbey Vale Bakery Substation,11000,National Grid Electricity Distribution,50.574296,-3.657379
Abbotsbury Way Substation,11000,National Grid Electricity Distribution,50.3998447,-4.1661369
Abbotsham Village Substation,11000,National Grid Electricity Distribution,51.0161951,-4.2477769
Abham Substation,400000;132000,,50.4716794,-3.7303549
Above Town Substation,11000,National Grid Electricity Distribution,50.3464548,-3.5782525
Achesons Substation,11000,National Grid Electricity Distribution,50.368904,-4.1137393
Acklington Place Substation,11000,National Grid Electricity Distribution,50.4159474,-4.1782082
Adas Terrace Substation,11000,National Grid Electricity Distribution,51.1836902,-4.2097814
Addington Substation,11000,National Grid Electricity Distribution,50.4593743,-4.4554217
Addison Road Substation,11000,National Grid Electricity Distribution,50.5202209,-3.5912
Adelaide Road Substation,33000;11000,National Grid Electricity Distribution,50.3691342,-4.1487383
Admirals Hard Substation,11000,National Grid Electricity Distribution,50.3654814,-4.164206
Admirals Walk Substation,11000,National Grid Electricity Distribution,50.5610277,-3.5091401
Admiralty Street 91 Substation,11000,National Grid Electricity Distribution,50.3892858,-4.1790433
Adult Training Centre Substation,11000,National Grid Electricity Distribution,50.6281572,-3.3826463
Advance Factory Bell Substation,11000,National Grid Electricity Distribution,50.4410702,-4.1164357
Agaton Fort Substation,11000,National Grid Electricity Distribution,50.4143838,-4.1744612
Albert Pier SW Water,11000,,50.1226658,-5.5311039
Albert Road,11000,,50.2090518,-5.4789769
Albion Court Substation,11000,National Grid Electricity Distribution,50.3774227,-4.1990817
Albion Hotel Substation,11000,National Grid Electricity Distribution,50.2869536,-3.7785635
Albion Park Substation,11000,National Grid Electricity Distribution,50.3956351,-4.154668
Alcombe Substation,33000;11000,National Grid Electricity Distribution,51.1994399,-3.4651093
Alder Sand Pits No 1 Substation,11000,National Grid Electricity Distribution,50.5144408,-3.5872349
Aldercombe Barton Turbine Substation,11000,National Grid Electricity Distribution,50.8850176,-4.4606723
Alders Way 33kv Stor,33000,National Grid Electricity Distribution,50.4229969,-3.5894722
Aldreath Road,11000,,50.1342872,-5.564725
Alexandra Drive Substation,11000,National Grid Electricity Distribution,50.4823673,-4.1854946
Alexandra Gardens,11000,,50.115991,-5.5475305
Alexandra Rd Substation,11000,National Grid Electricity Distribution,50.7321363,-2.7649972
Alexandra Road,11000,,50.113182,-5.541763
Alexandra Road St Ives,11000,,50.2123737,-5.4893837
Alexandra Road Substation,11000,National Grid Electricity Distribution,51.2042119,-3.4749765
Alexandra Road Substation,33000;11000,National Grid Electricity Distribution,50.4081616,-4.135771
Alexandra Terrace Substation,11000,National Grid Electricity Distribution,50.3715913,-4.1981855
Alfred Street Substation,11000,National Grid Electricity Distribution,50.3673197,-4.1442796
Algram Engineering Substation,11000,National Grid Electricity Distribution,50.38755,-4.0167685
All Saints Park Substation,11000,National Grid Electricity Distribution,50.5172353,-4.2445727
Allen Vale Substation,11000,National Grid Electricity Distribution,50.4524043,-4.4806798
Allenstyle Estate Substation,11000,National Grid Electricity Distribution,51.0692194,-4.1457999
Allenstyle West Substation,11000,National Grid Electricity Distribution,51.0683034,-4.1485077
Allenstyle Wood Substation,11000,National Grid Electricity Distribution,51.0695607,-4.1408292
Aller Court Solar Farm Substation,33000,National Grid Electricity Distribution Plc,51.0582591,-2.8722174
Alma Road Substation,33000;11000,National Grid Electricity Distribution,50.3833084,-4.1545768
Alpha Substation,11000,National Grid Electricity Distribution,50.9484258,-2.6733894
Altamira Substation,11000,National Grid Electricity Distribution,50.6826199,-3.4596276
Alverdiscott Substation,400000;132000,National Grid Electricity Transmission,51.0058838,-4.1369429
Alverton Terrace,11000,,50.1179675,-5.5419892
Alvington Substation,11000,National Grid Electricity Distribution,50.9413822,-2.6760155
Alvington Triangle No 2 Substation,11000,National Grid Electricity Distribution,50.9435421,-2.6770473
Alvington Triangle Substation,11000,National Grid Electricity Distribution,50.9425169,-2.6793671
Ambrosia No 1 Substation,11000,National Grid Electricity Distribution,50.6432816,-4.2694945
Ambrosia No 2 Substation,11000,National Grid Electricity Distribution,50.643727,-4.2682836
Amory Road Substation,11000,National Grid Electricity Distribution,51.0381721,-3.5423897
Anchor Lane A,,National Grid Electricity Distribution,51.0808867,-4.0594965
Anchor Lane B,,National Grid Electricity Distribution,51.0808869,-4.0594838
Anchor Lane C,,National Grid Electricity Distribution,51.0808791,-4.0594928
Anderton Estate Substation,11000,National Grid Electricity Distribution,50.3483865,-4.2102054
Andrews Way Substation,11000,National Grid Electricity Distribution,50.4366311,-4.2593195
Angel Hill Substation,11000,National Grid Electricity Distribution,50.6366275,-4.359147
Anna Mill Business Park Substation,11000,National Grid Electricity Distribution,50.4025125,-3.8565919
Annings Lane Substation,11000,National Grid Electricity Distribution,50.7054044,-2.7222644
Anstis St North Substation,11000,National Grid Electricity Distribution,50.3732784,-4.1526805
Anstis St Substation,11000,National Grid Electricity Distribution,50.3716712,-4.1520384
Anthony Road Substation,11000,National Grid Electricity Distribution,50.3768124,-4.2032954
Antony House Substation,11000,National Grid Electricity Distribution,50.3856051,-4.2260958
Applegate Park Substation,11000,National Grid Electricity Distribution,50.2909773,-3.7718306
Apsley Road Substation,11000,National Grid Electricity Distribution,51.2073758,-4.1196003
Architectural Woodcrafts Substation,11000,National Grid Electricity Distribution,51.0929823,-4.1305954
Archway Estate Substation,11000,National Grid Electricity Distribution,50.3541929,-3.5926141
Arden Grove Substation,11000,National Grid Electricity Distribution,50.3981972,-4.1524862
Argyll Road Millbk Substation,11000,National Grid Electricity Distribution,50.743795,-3.5338379
Arla Indusrial Substation,11000,National Grid Electricity Distribution,51.063855,-4.0921584
Arlington Court Substation,11000,National Grid Electricity Distribution,51.1483227,-3.9851282
Arlington Terrace Substation,11000,National Grid Electricity Distribution,51.1060225,-4.1602463
Armada CentreSubstation,11000,National Grid Electricity Distribution,50.3734191,-4.1443532
Armada Street Substation,33000;11000,National Grid Electricity Distribution,50.3759225,-4.1352599
Armoury Road Substation,11000,National Grid Electricity Distribution,50.9496532,-2.6779877
Artillery Road Substation,11000,National Grid Electricity Distribution,50.9490338,-2.6796596
Arundel Crescent Substation,11000,National Grid Electricity Distribution,50.3754266,-4.1522923
Asda Substation,11000,National Grid Electricity Distribution,50.409768,-4.0973824
Ash Grove Substation,11000,National Grid Electricity Distribution,50.637275,-3.4085305
Ashburn Close Substation,,National Grid Electricity Distribution Plc,50.5175375,-3.7593409
Ashburton Substation,33000,,50.519382,-3.7439018
Ashcombe Solar Park Substation,33000,,50.5899687,-3.5315128
Ashcroft Rumsam Road Substation,11000,National Grid Electricity Distribution,51.0670464,-4.0447919
Ashfield House Substation,11000,National Grid Electricity Distribution,50.9704146,-2.7668759
Ashford Crescent Substation,11000,National Grid Electricity Distribution,50.383794,-4.1207151
Ashford Hill Substation,11000,National Grid Electricity Distribution,50.3832343,-4.1246076
Ashford Road Substation,11000,National Grid Electricity Distribution,50.6875097,-3.469464
Ashford Sewage Works Substation,11000,National Grid Electricity Distribution,51.0888807,-4.0942506
Ashland Springs Substation,11000,National Grid Electricity Distribution,50.8909928,-2.7957536
Ashlands Road Substation,11000,National Grid Electricity Distribution,50.8899894,-2.7897282
Ashlawn Farm Solar Park Substation,33000,National Grid Electricity Distribution Plc,51.257412,-2.903995
Ashleigh Close Substation,11000,National Grid Electricity Distribution,50.4323877,-4.1518186
Ashleigh Mount Substation,11000,National Grid Electricity Distribution,50.5599881,-3.5006225
Ashleigh Park Substation,11000,National Grid Electricity Distribution,50.9878792,-3.4812706
Ashleigh Road Substation,11000,National Grid Electricity Distribution,50.6237036,-3.3979319
Ashleigh Way Substation,11000,National Grid Electricity Distribution,50.5582677,-3.5007546
Ashprington Substation,11000,National Grid Electricity Distribution,50.4010403,-3.6639573
Ashwater Solar Park,33000,National Grid Electricity Distribution Plc,50.7556605,-4.3016651
Ashwater Substation,33000;11000,National Grid Electricity Distribution Plc,50.7422225,-4.2901237
Ashwood Park Substation,11000,National Grid Electricity Distribution,50.3211394,-3.8004455
Ashwoods Substation,11000,National Grid Electricity Distribution,50.6232732,-3.5813166
Aspen Way No 2 Substation,11000,National Grid Electricity Distribution,50.4236937,-3.5993324
Astley Park Substation,11000,National Grid Electricity Distribution,50.3904538,-3.5103174
Athelstan Road Substation,33000;11000,National Grid Electricity Distribution,50.723716,-3.5220943
Athenaeum Place No 1 Substation,11000,National Grid Electricity Distribution,50.3685854,-4.1454946
Atlas Containers Substation,11000,National Grid Electricity Distribution,51.0727951,-4.0597828
Atlas Packaging Substation,11000,National Grid Electricity Distribution,51.0636067,-4.0868196
Atway Substation,11000,National Grid Electricity Distribution,50.5977662,-3.6780979
Augusta Park Substation,11000,National Grid Electricity Distribution,50.9447467,-2.6837549
Austin Avenue 29 Substation,11000,National Grid Electricity Distribution,50.3912247,-4.1654287
Austin Crescent 2 Substation,11000,National Grid Electricity Distribution,50.4023524,-4.1077071
Aveton Gifford Substation,11000,National Grid Electricity Distribution,50.3130674,-3.8364474
Aviemore Industrial Substation,11000,National Grid Electricity Distribution,51.0713988,-4.0765193
Avon Dam Substation,11000,National Grid Electricity Distribution,50.4712895,-3.8625888
Avon Treatment Works Substation,11000,National Grid Electricity Distribution,50.4511675,-3.8662435
Avon Works Substation,11000,National Grid Electricity Distribution,50.4221426,-3.838187
Axbridge Mushrooms Substation,11000,National Grid Electricity Distribution,51.2886979,-2.7971445
Axbridge Substation,33000;11000,,51.2854608,-2.8160915
Axe Valley Close Substation,11000,National Grid Electricity Distribution,50.8434228,-2.7736413
Axe View Solar Farm Substation,33000,National Grid Electricity Distribution Plc,50.8131958,-2.9525515
Axminster Substation,400000;132000,National Grid,50.7868307,-2.9244515
Axminster Substation,33000;11000,National Grid Electricity Distribution,50.7799711,-2.9952203
Axtown Substation,11000,National Grid Electricity Distribution,50.4857488,-4.0987338
Aylesbury Crescent Substation,11000,National Grid Electricity Distribution,50.4223542,-4.1555564
Ayreville Holiday Camp Substation,11000,National Grid Electricity Distribution,50.4299001,-3.6232906
Ayshford Court Farm Solar Park Substation,33000,National Grid Electricity Distribution,50.9282223,-3.3506235
B S Screw Substation,11000,National Grid Electricity Distribution,50.8185365,-4.354213
B&Q Liverton Substation,11000,National Grid Electricity Distribution,50.6305968,-3.3779875
B2 Northacre Park S/S,,,51.2692393,-2.2074041
BBC Start Point Substation,11000,National Grid Electricity Distribution,50.2275324,-3.6630245
